121,48.936755,2.011504,22.6,alt 20 retour rapide
122,48.937434,2.011340,22.9,alt 20 retour rapide
123,48.937929,2.011276,23.3,alt 20 retour rapide
124,48.938140,2.011319,23.6,alt 20 retour rapide
125,48.938202,2.011340,23.5,alt 20 retour rapide
126,48.938912,2.011718,21.3,alt 20 retour rapide
127,48.939336,2.011944,22.5,alt 20 retour rapide
128,48.939407,2.011928,22.8,alt 20 retour rapide
129,48.939803,2.011627,22.4,alt 20 retour rapide
130,48.940656,2.010927,22.4,alt 20 retour rapide
131,48.940940,2.010860,22.8,alt 20 retour rapide
132,48.941817,2.010549,23.7,alt 20 retour rapide
133,48.937106,2.011895,23.1,ALT 121
134,48.937589,2.012013,24.4,ALT 121
135,48.938041,2.012306,24.2,ALT 121
136,48.938362,2.012325,24.2,ALT 121
137,48.934269,2.030628,21.3,ALT 33
138,48.934518,2.030636,21.4,ALT 33
139,48.934835,2.031173,21.9,ALT 33
140,48.935134,2.031248,21.8,ALT 33
141,48.935596,2.031350,22.5,ALT 33
142,48.935931,2.031422,22.6,ALT 33
143,48.936220,2.031486,23.1,ALT 33
144,48.935263,2.032860,23.2,ALT 37 Noeud
145,48.935325,2.032581,23.0,ALT 37
146,48.935754,2.031992,23.8,ALT 37
147,48.935972,2.031579,23.4,ALT 37
148,48.937559,2.031797,22.1,ALT 150
149,48.936687,2.031591,21.5,ALT 150
150,48.936503,2.031543,21.6,Carrefour PPH
151,48.936590,2.031240,23.1,
152,48.936487,2.030494,21.8,
153,48.936487,2.029743,21.4,
154,48.936563,2.028463,22.1,
155,48.936405,2.027833,21.5,
156,48.936160,2.027356,21.8,Noeud
157,48.935598,2.026452,21.1,
158,48.935023,2.025121,22.4,
159,48.934777,2.024671,22.4,noeud
160,48.934537,2.024113,22.3,
161,48.934431,2.023585,22.5,
162,48.934172,2.022801,22.4,
163,48.933797,2.022463,20.9,
164,48.933881,2.021664,22.9,
165,48.933867,2.021200,23.3,
166,48.933610,2.019837,22.5,
167,48.933230,2.017469,22.3,
168,48.933214,2.016933,22.1,
169,48.936947,2.037771,20.6,Pont de Poissy
170,48.937090,2.038023,19.8,Pont de Poissy
171,48.937242,2.038216,19.1,Pont de Poissy
172,48.937430,2.038334,20.7,
173,48.938013,2.038801,22.4,
174,48.938470,2.039165,22.4,
175,48.939013,2.039577,23.4,
176,48.939638,2.040099,22.9,
177,48.940247,2.040603,23.7,
178,48.940637,2.040847,24.1,self CPY
179,48.940941,2.041040,21.8,
180,48.941812,2.041582,22.3,
181,48.942686,2.042054,20.8,
182,48.942948,2.042103,24.5,
183,48.944169,2.042667,25.6,
184,48.944810,2.042980,24.7,
185,48.945554,2.043306,23.7,
186,48.946446,2.043699,23.4,
187,48.947106,2.044052,23.6,
188,48.947475,2.044307,23.9,
189,48.947754,2.044506,23.5,rue des écluses
190,48.948203,2.044678,22.6,rue des écluses
191,48.948685,2.044845,23.2,rue des écluses
192,48.949199,2.044968,24.4,rue des écluses
193,48.949958,2.045159,22.6,écluse
194,48.950845,2.045369,21.7,
195,48.951419,2.045488,19.8,passerelle dérivation
196,48.951938,2.045534,19.2,
197,48.952224,2.045574,19.1,
198,48.952678,2.045630,20.3,Ch. halage vers Andresy
199,48.954000,2.045788,21.0,entrée chemin sous-bois
200,48.939863,2.031184,24.8,entrée chemin beauregard (bis)
201,48.939386,2.029822,23.7,entrée mosquée
