20171209;[0,1,83..71,68..49,148..168,84,21,20,118..124,96,93..88,8,9,94..99,79..83]
20171202;[0,1,83..75,70..56,156..150,147..144,36..41,169..188,187..169,41..65,87..84,21,20,118..121,133..136,98,99,79..83,1]
20171125;[0,1,83..75,70..56,156..150,143,147..144,36..18,102..100,16..2]
20171101;[0..41,169..198, 197..169,41..1]
20171018;[0..36,144..143,150..159,58..70,75..81]
20171010;[0..21,84,168..159,58..68,71..82]
20171002;[0..21,84,168..156,56..68,71..83,1]
20170919;[0..22,84,168..148,49..68,71..83,1]
20170917;[0..35,137..143,150..156,56..70,75..83,1]
20170801;[0..35,137..140,144,44..18,102..100,16..14,107,108,112..117,121,122]
20171107;[0..36,144..147,143,150..156,56..68,71..83,1]
20170526;[0..1,83..75,70..58,159..150,143,147..144,36..41,169..189,188..169,41..36,144..147,143,150..156,56..70,75..83,1]
20170326;[0..9,94..99,78..71,68..41,169..197,196..169,41..20,118..121,133..136,98,99,79..83]
